name	degree	betweenness_centrality	closeness_centrality	eigenvector_centrality	Abundance	module	z	p	taxa_roles
otu8130	14	21305.25	3.75640044247329e-05	1.54484818438051e-17	NA	M6	2.20136014500897	0	Peripheral nodes
otu8134	18	152616	6.72928500427228e-05	2.39441335147313e-09	NA	M2	-0.62643889259929	0	Peripheral nodes
otu8135	2	23265	5.91446340669991e-05	4.06886470308488e-10	0.0568101511408101	M4	-0.870510852397036	0.5	Peripheral nodes
otu8136	7	6549	5.80440263484413e-05	6.29048470152106e-12	NA	M2	-0.874000189782503	0	Peripheral nodes
otu8137	8	109863	4.16487499787574e-05	1.93106023047563e-18	NA	M6	-0.0877353680981835	0.21875	Peripheral nodes
otu8144	10	2623	6.25303800292965e-05	3.26644457370224e-11	NA	M2	-0.806483472368899	0	Peripheral nodes
otu8146	2	2855	4.35714569381592e-05	4.82765057618909e-18	NA	M2	-0.986528052138509	0	Peripheral nodes
otu8149	14	25790	5.63186635996539e-05	2.23674706495993e-13	NA	M2	-0.716461182484095	0	Peripheral nodes
otu8152	2	0	0.172743055555556	0	NA	M17	-0.730296743340221	0	Peripheral nodes
otu8174	3	25131	6.48473650208606e-05	1.56022481597251e-07	NA	M4	-0.55048135696875	0	Peripheral nodes
otu8177	3	7908	4.18946513540845e-05	0	NA	M4	-0.55048135696875	0	Peripheral nodes
otu8179	4	295	5.76593246593413e-05	1.8456259740999e-11	NA	M2	-0.941516907196106	0	Peripheral nodes
otu8180	4	1601	4.01625236985005e-05	6.75871080666472e-18	4.06275997221629	M4	-0.390466609254607	0	Peripheral nodes
otu8181	2	0	3.25914884831848e-05	0	NA	M5	-0.839661390439015	0	Peripheral nodes
otu8182	10	9979	5.97027436577899e-05	1.93449230382326e-11	NA	M2	-0.806483472368899	0	Peripheral nodes
otu8184	3	5708	4.91287821308006e-05	2.70734644312684e-15	NA	M2	-0.964022479667308	0	Peripheral nodes
otu8185	3	0	2.70011530696097e-05	0	NA	M4	-0.55048135696875	0	Peripheral nodes
otu8186	3	5	4.19653701069616e-05	9.18219139591164e-16	0.320693005252817	M4	-0.55048135696875	0	Peripheral nodes
otu8187	5	2773	5.46603912205528e-05	7.69797850276807e-14	NA	M2	-0.919011334724905	0	Peripheral nodes
otu8188	7	12650	4.47486374495995e-05	5.7931806914269e-16	NA	M4	0.0895776338878217	0	Peripheral nodes
otu8189	3	0	4.00567846276845e-05	3.86212046095127e-18	0.0513627622258097	M4	-0.55048135696875	0	Peripheral nodes
otu8192	5	962	7.9213292392611e-05	0.000140073146750816	NA	M4	-0.55048135696875	0.48	Peripheral nodes
otu8195	2	0	6.64467319133664e-05	8.76216060830322e-07	NA	M4	-0.710496104682893	0	Peripheral nodes
otu8199	2	883	6.52975054874838e-05	5.96873344946179e-07	NA	M4	-0.710496104682893	0	Peripheral nodes
otu8201	7	5.25	3.14952811665253e-05	1.93106023047563e-18	NA	M6	-0.0877353680981835	0	Peripheral nodes
otu8202	48	104.375	5.71706966142161e-05	1.66329385746442e-10	NA	M2	0.0487282815367448	0	Peripheral nodes
otu8208	8	3205	5.40590491069052e-05	1.51420225852286e-13	NA	M2	-0.851494617311302	0	Peripheral nodes
otu8209	8	0	5.51254969899031e-05	1.72028500631922e-13	NA	M2	-0.851494617311302	0	Peripheral nodes
otu8214	10	23237	5.90030636955413e-05	6.51569460090028e-12	NA	M2	-0.806483472368899	0	Peripheral nodes
otu8217	3	19949	3.14269247873061e-05	0	NA	M4	-0.55048135696875	0	Peripheral nodes
otu8225	1	0	3.8850930306206e-05	0	NA	M2	-1.00903362460971	0	Peripheral nodes
