name	degree	betweenness_centrality	closeness_centrality	eigenvector_centrality	Abundance	module	z	p	taxa_roles
otu2292	16	0	0.00397697749710222	3.39434674877338e-17	NA	M3	-0.363599158222166	0	Peripheral nodes
otu2293	79	1080	0.000100034790741215	4.43013844785507e-12	NA	M1	0.172183401272405	0	Peripheral nodes
otu2294	94	13332.3333333333	0.00011130559482057	4.38598206986963e-11	NA	M1	0.391019847023645	0	Peripheral nodes
otu2295	175	478.713838599996	0.000102506453360838	1.34888624318855e-12	NA	M1	1.57273665408035	0	Peripheral nodes
otu2296	182	5404.18707253989	9.75316235499486e-05	7.8260058639719e-14	NA	M1	1.67486032876426	0	Peripheral nodes
otu2309	4	1515	6.64942178980811e-05	3.39434674877338e-18	NA	M1	-0.921998827483799	0	Peripheral nodes
otu2312	29	0	8.44313653999867e-05	0.0103928409251119	NA	M7	0.135036118481369	0.470868014268728	Peripheral nodes
otu2325	9	2091	8.81314782690195e-05	1.21517613606087e-15	NA	M1	-0.849053345566719	0	Peripheral nodes
otu2336	12	1791.5	9.27095573157552e-05	1.03180673599863e-12	NA	M1	-0.80528605641647	0	Peripheral nodes
otu2339	154	19.799442482996	9.72474757506735e-05	1.40118633789365e-13	NA	M1	1.26636563002861	0	Peripheral nodes
otu2341	154	19.799442482996	9.72474757506735e-05	1.40064324241385e-13	NA	M1	1.26636563002861	0	Peripheral nodes
otu2354	5	8	6.21107822950654e-05	1.69717337438669e-18	NA	M9	0.150740842160245	0	Peripheral nodes
otu2356	3	0	4.36058849792626e-05	1.69717337438669e-18	NA	M5	-0.885773863303616	0	Peripheral nodes
otu2358	5	7536.33333333333	6.29793075078717e-05	1.03867010512465e-15	NA	M5	-0.695583576611163	0	Peripheral nodes
otu2362	148	2323.06671227528	9.65697365945718e-05	0.148424834005843	NA	M2	-0.724996280456575	0.253104455807158	Peripheral nodes
otu2364	25	1471.13333333333	8.69046538494015e-05	0.015203225276371	NA	M4	-0.522588722118768	0.48	Peripheral nodes
otu2366	9	0	7.73038063995218e-05	0.00126950151666115	NA	M4	-0.93255056447056	0.197530864197531	Peripheral nodes
otu2370	39	4.33190883190883	9.14268541151016e-05	0.00489154940560114	NA	M4	0.238768985105989	0.40499671268902	Peripheral nodes
otu2371	301	611.2	9.84593272120869e-05	0.773668632006482	NA	M2	0.647243056175725	0.00662244346088892	Peripheral nodes
otu2372	124	7901.61237373741	0.000106311818787573	0.131698146876838	NA	M2	-0.740769146394878	0	Peripheral nodes
otu2373	338	2049.44793329861	0.00010866731151744	0.716098323674647	NA	M2	0.946927509003469	0	Peripheral nodes
otu2376	4	5655	4.7433665041192e-05	1.69717337438669e-18	NA	M5	-0.79067871995739	0	Peripheral nodes
otu2377	357	60.5	9.91838090071296e-05	0.918404945026182	NA	M2	1.09676973541734	0	Peripheral nodes
otu2378	257	37740.1666666667	0.000106759021133681	0.669179213889414	0.0209000617352811	M2	0.308126438502226	0	Peripheral nodes
otu2379	249	750.590598290598	0.000105872902065456	0.621754480960145	0.162458893899605	M2	0.245034974749016	0	Peripheral nodes
otu2380	92	37774.2108225108	0.000104229733022362	0.199171252741483	NA	M2	-1.04045359922262	0.121928166351607	Peripheral nodes
otu2381	366	91.8118908868909	9.94084324039001e-05	0.941960443344107	NA	M2	1.1677476321397	0	Peripheral nodes
otu2382	377	255.778571428572	9.96380681342388e-05	0.95979173685809	NA	M2	1.25449839480036	0	Peripheral nodes
otu2383	382	913.046825396825	9.966534103064e-05	0.962691776777026	NA	M2	1.29393055964612	0	Peripheral nodes
otu2384	372	182.887526362526	9.95835682253114e-05	0.936742043763965	NA	M2	1.20717979698546	0.00536189154815581	Peripheral nodes
otu2385	372	182.887526362526	9.95835682253114e-05	0.936742043763965	0.0117812799982354	M2	1.20717979698546	0.00536189154815581	Peripheral nodes
