Source,Target,Type,Id,Label,timeset,Weight,correlation
otu451,otu2118,Undirected,436,,,0.980519,0.980519
otu451,otu2127,Undirected,437,,,0.980519,0.980519
otu451,otu2211,Undirected,438,,,0.980519,0.980519
otu451,otu4060,Undirected,439,,,0.980519,0.980519
otu451,otu5508,Undirected,440,,,0.980519,0.980519
otu451,otu6991,Undirected,441,,,0.980519,0.980519
otu466,otu582,Undirected,442,,,0.992857,0.992857
otu466,otu602,Undirected,443,,,0.992857,0.992857
otu466,otu613,Undirected,444,,,0.992857,0.992857
otu466,otu617,Undirected,445,,,0.992857,0.992857
otu466,otu630,Undirected,446,,,0.992857,0.992857
otu466,otu658,Undirected,447,,,0.992857,0.992857
otu466,otu684,Undirected,448,,,0.992857,0.992857
otu466,otu709,Undirected,449,,,0.992857,0.992857
otu466,otu743,Undirected,450,,,0.992857,0.992857
otu466,otu801,Undirected,451,,,0.992857,0.992857
otu466,otu880,Undirected,452,,,0.992857,0.992857
otu466,otu914,Undirected,453,,,0.992857,0.992857
otu466,otu1046,Undirected,454,,,0.992857,0.992857
otu466,otu1063,Undirected,455,,,0.992857,0.992857
otu466,otu1281,Undirected,456,,,0.992857,0.992857
otu466,otu1293,Undirected,457,,,0.992857,0.992857
otu466,otu1318,Undirected,458,,,0.992857,0.992857
otu466,otu1378,Undirected,459,,,0.992857,0.992857
otu466,otu1428,Undirected,460,,,0.992857,0.992857
otu466,otu1588,Undirected,461,,,0.992857,0.992857
otu466,otu1596,Undirected,462,,,0.992857,0.992857
otu466,otu1600,Undirected,463,,,0.992857,0.992857
otu466,otu1623,Undirected,464,,,0.992857,0.992857
otu466,otu1745,Undirected,465,,,0.992857,0.992857
otu466,otu1793,Undirected,466,,,0.992857,0.992857
otu466,otu1796,Undirected,467,,,0.992857,0.992857
otu466,otu1809,Undirected,468,,,0.992857,0.992857
otu466,otu1857,Undirected,469,,,0.992857,0.992857
otu466,otu1882,Undirected,470,,,0.992857,0.992857
otu466,otu1919,Undirected,471,,,0.992857,0.992857
otu466,otu1955,Undirected,472,,,0.992857,0.992857
otu466,otu2007,Undirected,473,,,0.992857,0.992857
otu466,otu2009,Undirected,474,,,0.992857,0.992857
otu466,otu2068,Undirected,475,,,0.992857,0.992857
otu466,otu2134,Undirected,476,,,0.992857,0.992857
otu466,otu2340,Undirected,477,,,0.992857,0.992857
otu466,otu4680,Undirected,478,,,0.985714,0.985714
otu466,otu6930,Undirected,479,,,0.992857,0.992857
otu466,otu7560,Undirected,480,,,0.992857,0.992857
otu468,otu512,Undirected,481,,,0.98995,0.98995
otu468,otu601,Undirected,482,,,0.98995,0.98995
otu468,otu612,Undirected,483,,,0.98995,0.98995
otu468,otu655,Undirected,484,,,0.98995,0.98995
otu468,otu667,Undirected,485,,,0.98995,0.98995
otu468,otu668,Undirected,486,,,0.98995,0.98995
otu468,otu685,Undirected,487,,,0.98995,0.98995
otu468,otu691,Undirected,488,,,0.98995,0.98995
