	otus	S2441YD	S2441YG	S2442YD	S2442YG	S2443YD	S2443YG	S2444YD	S2444YG	S2445YD	S2445YG	S2446YD	S2447YD	S2447YG	S2451YD	S2451YG	S2452YD	S2452YG	S2453YD	S2453YG	S2454YD	S2455YD	S2455YG	S2456YD	S2456YG	S2457YD	S2461YD	S2461YG	S2462YD	S2462YG	S2463YD	S2463YG	S2464YD	S2464YG	S2465YD	S2465YG	S2466YD	S2466YG	S2467YD	S2467YG	taxa	staxa
5557	otu8000	7.57684e-05	7.51266e-05	0.0001747177	0.0012106122	0.0007370431	0.0006857467	0	0.0006273686	0.000285145	0.0001356312	0	0.0012358709	0.0006863596	6.96834e-05	0	0.0003523805	0.0008126176	0.0095993804	0.0012574649	0.0013637379	0.0002693561	0	0.0002709114	0.0002120413	0.0003086207	0.0002339809	0.0003157255	0.0001671305	0.0002331479	0.001458544	0.0019311309	0.0012452245	0.0012677682	0	8.51593e-05	0	0	0.0038859055	0.003896816	CRT	RT
5558	otu8001	0	0	0	8.48346e-05	0.000154688	0.0004056119	0.0002947156	0	0	0	0	0.0003066959	0.0001269765	0	0	8.35272e-05	0	0.0001661384	4.97303e-05	0	0	0	0	0	0.0001334576	5.06557e-05	0	0	0	0	0	0	5.49293e-05	0	0	0	0	0.000751026	0.000749723	CRT	RT
5559	otu8002	0.0001170966	0.0001229345	0.0001281263	0.0006351129	0.0016264993	0.002214816	0	0	0.0007603867	0.0004315538	0	0.002991989	0.0018497391	0.0003757927	0.0001986038	0.0013207745	0.0003314927	0.0044710782	0.0012029985	0.0013857337	0.0002469097	0.0001178001	0.0025807872	0.0004770928	0.0008535726	0.0004776105	0.0003641027	0.000136092	0.0001252091	0.001354774	0.0012421345	0.000580946	0.0006547572	0	0	0	0	0.0104956812	0.0108775215	CRAT	AT
5560	otu8003	0	0	0	0	0.0003685215	0.0009221105	0	0	0	0	0	0.0002817059	0.0001063857	0	0	0.0002140385	0.0005962265	0.0003591522	0.0002060253	0	0	0	0	0	0.0001890649	0	0	0	0	0	0.0003105336	0.0019428359	0.0109067612	0	0	0	0	0.000818282	0.0008129264	CRAT	AT
5561	otu8004	4.36242e-05	0	3.78555e-05	7.10776e-05	0.0001888104	0.000248036	0	0.0001451762	0	2.95923e-05	0	0.0006043045	0.0003363162	0	0	5.7425e-05	0	0.0009406367	0.0005067749	0	0	2.44491e-05	0	6.47904e-05	0.000136238	0	4.83773e-05	3.10385e-05	2.37465e-05	5.1885e-05	4.85209e-05	0.0003619008	0.0009052348	0	2.46514e-05	0	0	0.0019653714	0.0017893098	CRT	RT
5562	otu8005	0.0005487466	0.0002231033	0.0003698191	0.0011830983	0.0046429163	0.0093261552	0	0.0016124929	0.0014291196	0.0006214375	0	0.0111251103	0.0061909634	0.0003509057	0.0002979057	0.0017462413	0.0012960445	0.0064354207	0.0021384008	0.0058068841	0.0008561675	0.0002956116	0.0017395361	0.0013193678	0.0025523767	0.0014545412	0.0006645512	0.0012105023	0.0006217278	0.0010261693	0.0022562208	0.0008809427	0.0017489488	0.0005729171	0.0003406371	0.000132925	0.0004252325	0.0363967359	0.0379612643	CRAT	AT
5563	otu8006	3.67362e-05	0	0	3.20996e-05	6.14203e-05	0.0003822673	0	0	0	0	0	0.0002339976	0	0	0	0	0	0.0004519942	6.15708e-05	0	0	0	0	0	0	0	0	2.86509e-05	0	0	0	0	0	0	0	0	0	0.0016216182	0.0014885488	CRT	RT
5564	otu8007	0	0	0	0	0.0005732557	0	0	0	0	0	0	0.0005270626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007547624	0.0009567686	CRT	RT
5565	otu8008	8.49524e-05	0	4.95033e-05	0.0001811333	0.0006392256	0.002010551	0	0.0002955373	0.0001425725	0.000113437	0	0.0028624952	0.0009231536	5.22626e-05	4.84963e-05	0.0001017988	8.28732e-05	0.0066944012	0.0004144188	0.0014297253	5.45125e-05	0	0	0.0001590309	0.0004003728	8.44261e-05	0.0002367941	0.0015638639	5.39694e-05	0.0003113098	0.0006307714	0.0001499984	0.0007448413	0	5.37848e-05	0	0	0.0093859563	0.0097224251	CRT	RT
5566	otu8009	0	0	0	7.33704e-05	0.0001637873	0.0003093155	0	0	0.0001357833	0	0	0.0002612595	0.0001578627	0	0	0.0001305113	9.66854e-05	0.0006987587	0.000198921	0.0019136323	4.16861e-05	0	0	0	0.0001807238	0	0	5.49143e-05	5.39694e-05	0.0002017749	0.000329942	0	0	0	0.0001680775	0	0	0.0010947791	0.0011115079	CRT	RT
